country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Luxembourg,,,44.17,43.98,43.41,42.64,41.36,39.48,37.58,36.78,36.09,36.63,35.29,34.83,34.15,33.26,32.25,32.08,30.36,28.23,
Madagascar,,,,,,,,,,,,,10.37,,,7.22,,,,,
Malawi,,,,,,,,,,,,,,8.85,,,,,,,
Malaysia,10.67,11.12,11.03,10.49,10.52,10.04,10.5,10.27,10.13,9.9,9.12,8.44,9.25,9.08,8.91,8.78,8.81,8.68,8.7,,
Mali,,,,,,,,,,,,,,9.36,18.87,9.7,16.45,7.2,7.52,,
Malta,62.75,61.68,62.01,60.94,62.2,59.83,59.91,59.31,54.82,53.9,53.88,52.74,51.97,51.05,49.09,48.57,47.51,46.88,44.05,42.87,41.89
Mauritania,,,,,,,,,,,,,10.36,,,,,,,,
Mauritius,,,,,,,,28.19,23.98,20.62,23.03,27.1,27.05,,,28.07,28.17,27.86,27.68,,
Mexico,16.9,,17.17,,,16.85,15.34,16.74,15.58,15.32,14.5,14.7,14.0,13.8,13.6,13.1,12.7,12.5,12.0,12.4,12.4
"Moldova, Republic of",,,,,,,,,,,,,,28.3,29.65,24.05,23.9,22.44,20.02,18.58,
Mongolia,,,,,,,,,,,44.53,45.48,42.16,39.63,39.82,38.57,38.25,36.03,32.85,30.79,
Montenegro,,,,,,,,,,,,,25.83,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,6.03,6.37,10.32,10.9,
Mozambique,27.41,,,19.66,,,,,12.32,14.01,,,,,,,12.49,,,,
Myanmar,,,,,,,,,,,,,,,,1.0,,,,,
Namibia,48.0,,,,30.5,,,,,,,,,,,,17.61,,18.3,,
Nepal,,,,,,,,,,,,,,,32.91,,38.88,,30.16,,
Netherlands,22.33,21.57,21.42,20.95,21.3,21.0,20.34,19.36,19.25,19.16,19.28,19.34,18.85,18.21,18.13,17.72,17.32,16.8,16.51,15.39,
New Zealand,22.38,22.29,21.78,21.68,21.68,22.26,21.82,19.88,21.4,21.5,21.43,20.52,20.34,19.47,18.48,17.79,18.77,18.46,19.23,18.79,18.89
Nicaragua,,,,,,,,,,6.7,5.3,,,,,,,,,,
Niger,,,,,,,,,,,,,27.0,,,,,,,,
Nigeria,,,,,,,,,9.94,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,28.0,,,,,,,,,16.68,
Norway,53.61,52.63,52.81,51.79,51.54,51.19,51.11,50.07,49.79,50.32,50.52,49.93,49.93,49.82,50.07,49.78,49.99,49.98,49.88,50.4,
Pakistan,7.93,,,,6.9,6.4,5.9,5.5,5.6,,,,,,,,4.73,,,,
"Palestine, State of",,,,,,,,,,,,17.88,,8.53,,30.14,22.25,19.8,22.78,21.28,
Panama,,,,,,,,,,,,,15.3,15.51,16.81,17.49,19.58,24.5,26.33,26.32,
Paraguay,10.2,,,,,,,,11.35,,8.1,6.4,8.26,8.74,6.52,6.8,7.03,6.4,6.91,6.93,
Peru,,,,,,,,,,,1.93,2.05,2.15,3.2,3.21,3.13,2.76,2.76,2.28,,
Philippines,,,,,9.62,11.8,11.21,11.05,11.0,10.69,8.78,8.71,8.58,8.52,8.84,8.51,8.03,7.95,7.7,7.59,8.49
Poland,17.49,15.92,13.97,18.86,19.07,20.98,16.98,15.99,14.99,15.42,19.98,17.25,16.98,,16.48,,13.99,13.38,12.71,,
